sample_id	phenotype
nr1	0
nr2	0
nr3	0
nr4	0
nr5	0
nr6	0
nr7	0
nr8	0
nr9	0
nr10	0
nr11	0
nr12	0
nr13	1
nr14	1
nr15	1
nr16	1
nr17	1
nr18	1
nr19	1
nr20	1
nr21	1
nr22	1
nr23	1
nr24	1
nr25	1
nr26	1
nr27	1
nr28	1
nr29	1
nr30	1
nr31	1
nr32	0
nr33	1
nr34	1
nr35	1
nr36	1
nr37	1
nr38	1
nr39	1
nr40	0
nr41	1
nr42	1
nr43	1
nr44	0
nr45	0
nr46	1
nr47	1
nr48	1
nr49	1
nr50	1
nr51	1
nr52	0
nr53	0
nr54	0
nr55	0
nr56	1
nr57	1
nr58	1
nr59	0
nr60	0
nr61	0
nr62	0
nr63	0
nr64	0
nr65	0
nr66	0
nr67	1
nr68	1
nr69	1
nr70	1
nr71	0
nr72	1
nr73	0
nr74	1
nr75	1
nr76	0
nr77	1
nr78	0
nr79	0
nr80	0
nr81	1
nr82	0
nr83	0
nr84	0
nr85	0
nr86	0
nr87	0
nr88	0
nr89	0
nr90	0
nr91	0
nr92	0
nr93	0
nr94	0
