[14:26:02] BAMs: 63/94 | Jobs: 120/368 | Disk free: 300G | Running: True
[15:26:02] BAMs: 68/94 | Jobs: 147/368 | Disk free: 290G | Running: True
[16:26:02] BAMs: 74/94 | Jobs: 178/368 | Disk free: 273G | Running: True
[17:26:02] BAMs: 78/94 | Jobs: 200/368 | Disk free: 258G | Running: True
[18:26:03] BAMs: 83/94 | Jobs: 223/368 | Disk free: 243G | Running: True
[19:26:03] BAMs: 88/94 | Jobs: 244/368 | Disk free: 225G | Running: True
[20:26:04] BAMs: 90/94 | Jobs: 258/368 | Disk free: 202G | Running: True
[21:26:04] BAMs: 93/94 | Jobs: 273/368 | Disk free: 200G | Running: True
[22:26:05] BAMs: 93/94 | Jobs: 274/368 | Disk free: 193G | Running: True
[23:26:05] BAMs: 94/94 | Jobs: 317/368 | Disk free: 193G | Running: True
[00:26:05] BAMs: 94/94 | Jobs: 327/368 | Disk free: 191G | Running: True
[01:26:06] BAMs: 94/94 | Jobs: 349/368 | Disk free: 190G | Running: True
[02:26:06] BAMs: 94/94 | Jobs: 368/368 | Disk free: 187G | Running: True
[03:26:07] BAMs: 94/94 | Jobs: 368/368 | Disk free: 187G | Running: True
[04:26:07] BAMs: 94/94 | Jobs: 368/368 | Disk free: 187G | Running: True
[05:26:08] BAMs: 94/94 | Jobs: 368/368 | Disk free: 187G | Running: True
[06:26:08] BAMs: 94/94 | Jobs: 368/368 | Disk free: 186G | Running: True
[07:26:09] BAMs: 94/94 | Jobs: 368/368 | Disk free: 186G | Running: True
[08:26:09] BAMs: 94/94 | Jobs: 368/368 | Disk free: 186G | Running: True
[09:26:10] BAMs: 94/94 | Jobs: 368/368 | Disk free: 186G | Running: True
[10:26:10] BAMs: 94/94 | Jobs: 368/368 | Disk free: 186G | Running: True
[11:26:11] BAMs: 94/94 | Jobs: 368/368 | Disk free: 186G | Running: True
[12:26:11] BAMs: 94/94 | Jobs: 368/368 | Disk free: 185G | Running: True
[13:26:11] BAMs: 94/94 | Jobs: 368/368 | Disk free: 185G | Running: True
[14:26:12] BAMs: 94/94 | Jobs: 368/368 | Disk free: 185G | Running: True
[15:26:12] BAMs: 94/94 | Jobs: 368/368 | Disk free: 185G | Running: True
[16:26:13] BAMs: 94/94 | Jobs: 368/368 | Disk free: 185G | Running: True
[17:26:13] BAMs: 94/94 | Jobs: 368/368 | Disk free: 185G | Running: True
[18:26:14] BAMs: 94/94 | Jobs: 368/368 | Disk free: 185G | Running: True
[19:26:14] BAMs: 94/94 | Jobs: 368/368 | Disk free: 185G | Running: True
[20:26:15] BAMs: 94/94 | Jobs: 368/368 | Disk free: 185G | Running: True
[21:26:15] BAMs: 94/94 | Jobs: 368/368 | Disk free: 185G | Running: True
[22:26:16] BAMs: 94/94 | Jobs: 368/368 | Disk free: 185G | Running: True
[23:26:16] BAMs: 94/94 | Jobs: 368/368 | Disk free: 185G | Running: True
[00:26:16] BAMs: 94/94 | Jobs: 368/368 | Disk free: 185G | Running: True
[01:26:17] BAMs: 94/94 | Jobs: 368/368 | Disk free: 185G | Running: True
[02:26:17] BAMs: 94/94 | Jobs: 368/368 | Disk free: 185G | Running: True
[03:26:18] BAMs: 94/94 | Jobs: 368/368 | Disk free: 185G | Running: True
[04:26:18] BAMs: 94/94 | Jobs: 368/368 | Disk free: 185G | Running: True
[05:26:19] BAMs: 94/94 | Jobs: 368/368 | Disk free: 185G | Running: True
[06:26:19] BAMs: 94/94 | Jobs: 368/368 | Disk free: 185G | Running: True
[07:26:20] BAMs: 94/94 | Jobs: 368/368 | Disk free: 185G | Running: True
[08:26:20] BAMs: 94/94 | Jobs: 368/368 | Disk free: 185G | Running: True
[09:26:20] BAMs: 94/94 | Jobs: 368/368 | Disk free: 185G | Running: True
[10:26:21] BAMs: 94/94 | Jobs: 368/368 | Disk free: 185G | Running: True
[11:26:21] BAMs: 94/94 | Jobs: 368/368 | Disk free: 185G | Running: True
[12:26:22] BAMs: 94/94 | Jobs: 368/368 | Disk free: 185G | Running: True
[13:26:22] BAMs: 94/94 | Jobs: 368/368 | Disk free: 185G | Running: True
[14:26:23] BAMs: 94/94 | Jobs: 368/368 | Disk free: 185G | Running: True
[15:26:21] BAMs: 94/94 | Jobs: 368/368 | Disk free: 185G | Running: True
[16:26:24] BAMs: 94/94 | Jobs: 368/368 | Disk free: 185G | Running: True
[17:26:24] BAMs: 94/94 | Jobs: 368/368 | Disk free: 184G | Running: True
[18:26:25] BAMs: 94/94 | Jobs: 368/368 | Disk free: 183G | Running: True
[19:26:25] BAMs: 94/94 | Jobs: 368/368 | Disk free: 182G | Running: True
[20:26:26] BAMs: 94/94 | Jobs: 368/368 | Disk free: 181G | Running: True
[21:26:26] BAMs: 94/94 | Jobs: 368/368 | Disk free: 181G | Running: True
[22:26:27] BAMs: 94/94 | Jobs: 368/368 | Disk free: 180G | Running: True
[23:26:27] BAMs: 94/94 | Jobs: 368/368 | Disk free: 180G | Running: True
[00:26:27] BAMs: 94/94 | Jobs: 368/368 | Disk free: 179G | Running: True
[01:26:28] BAMs: 94/94 | Jobs: 368/368 | Disk free: 179G | Running: True
[02:26:28] BAMs: 94/94 | Jobs: 368/368 | Disk free: 178G | Running: True
[03:26:29] BAMs: 94/94 | Jobs: 368/368 | Disk free: 179G | Running: True
[04:26:29] BAMs: 94/94 | Jobs: 368/368 | Disk free: 179G | Running: True
[05:26:30] BAMs: 94/94 | Jobs: 368/368 | Disk free: 179G | Running: True
[06:26:30] BAMs: 94/94 | Jobs: 368/368 | Disk free: 179G | Running: True
[07:26:31] BAMs: 94/94 | Jobs: 368/368 | Disk free: 179G | Running: True
[08:26:31] BAMs: 94/94 | Jobs: 368/368 | Disk free: 179G | Running: True
[09:26:32] BAMs: 94/94 | Jobs: 368/368 | Disk free: 179G | Running: True
[10:26:32] BAMs: 94/94 | Jobs: 368/368 | Disk free: 170G | Running: True
[11:26:31] BAMs: 94/94 | Jobs: 368/368 | Disk free: 168G | Running: True
[12:26:33] BAMs: 94/94 | Jobs: 368/368 | Disk free: 167G | Running: True
[13:26:34] BAMs: 94/94 | Jobs: 368/368 | Disk free: 167G | Running: True
[14:26:34] BAMs: 94/94 | Jobs: 368/368 | Disk free: 167G | Running: True
[15:26:35] BAMs: 94/94 | Jobs: 368/368 | Disk free: 167G | Running: True
[16:26:35] BAMs: 94/94 | Jobs: 368/368 | Disk free: 167G | Running: True
[17:26:35] BAMs: 94/94 | Jobs: 368/368 | Disk free: 166G | Running: True
[18:26:36] BAMs: 94/94 | Jobs: 368/368 | Disk free: 166G | Running: True
[19:26:37] BAMs: 94/94 | Jobs: 368/368 | Disk free: 166G | Running: True
[20:26:37] BAMs: 94/94 | Jobs: 368/368 | Disk free: 166G | Running: True
[21:26:38] BAMs: 94/94 | Jobs: 368/368 | Disk free: 166G | Running: True
[22:26:38] BAMs: 94/94 | Jobs: 368/368 | Disk free: 166G | Running: True
[23:26:38] BAMs: 94/94 | Jobs: 368/368 | Disk free: 165G | Running: True
[00:26:39] BAMs: 94/94 | Jobs: 368/368 | Disk free: 165G | Running: True
[01:26:39] BAMs: 94/94 | Jobs: 368/368 | Disk free: 165G | Running: True
[02:26:40] BAMs: 94/94 | Jobs: 368/368 | Disk free: 165G | Running: True
[03:26:40] BAMs: 94/94 | Jobs: 368/368 | Disk free: 165G | Running: True
[04:26:41] BAMs: 94/94 | Jobs: 368/368 | Disk free: 165G | Running: True
[05:26:41] BAMs: 94/94 | Jobs: 368/368 | Disk free: 165G | Running: True
[06:26:42] BAMs: 94/94 | Jobs: 368/368 | Disk free: 165G | Running: True
[07:26:42] BAMs: 94/94 | Jobs: 368/368 | Disk free: 165G | Running: True
[08:26:43] BAMs: 94/94 | Jobs: 368/368 | Disk free: 165G | Running: True
[09:26:43] BAMs: 94/94 | Jobs: 368/368 | Disk free: 165G | Running: True
[10:26:44] BAMs: 94/94 | Jobs: 368/368 | Disk free: 165G | Running: True
[11:26:44] BAMs: 94/94 | Jobs: 368/368 | Disk free: 165G | Running: True
[12:26:45] BAMs: 94/94 | Jobs: 368/368 | Disk free: 164G | Running: True
[13:26:45] BAMs: 94/94 | Jobs: 368/368 | Disk free: 164G | Running: True
[14:26:46] BAMs: 94/94 | Jobs: 368/368 | Disk free: 164G | Running: True
[15:26:46] BAMs: 94/94 | Jobs: 368/368 | Disk free: 164G | Running: True
[16:26:47] BAMs: 94/94 | Jobs: 368/368 | Disk free: 164G | Running: True
[17:26:47] BAMs: 94/94 | Jobs: 368/368 | Disk free: 164G | Running: True
[18:26:45] BAMs: 94/94 | Jobs: 368/368 | Disk free: 164G | Running: True
[19:26:48] BAMs: 94/94 | Jobs: 368/368 | Disk free: 164G | Running: True
[20:26:48] BAMs: 94/94 | Jobs: 368/368 | Disk free: 164G | Running: True
[21:26:49] BAMs: 94/94 | Jobs: 368/368 | Disk free: 164G | Running: True
[22:26:49] BAMs: 94/94 | Jobs: 368/368 | Disk free: 164G | Running: True
[23:26:50] BAMs: 94/94 | Jobs: 368/368 | Disk free: 164G | Running: True
[00:26:50] BAMs: 94/94 | Jobs: 368/368 | Disk free: 164G | Running: True
[01:26:51] BAMs: 94/94 | Jobs: 368/368 | Disk free: 164G | Running: True
[02:26:51] BAMs: 94/94 | Jobs: 368/368 | Disk free: 164G | Running: True
[03:26:52] BAMs: 94/94 | Jobs: 368/368 | Disk free: 164G | Running: True
[04:26:52] BAMs: 94/94 | Jobs: 368/368 | Disk free: 164G | Running: True
[05:26:53] BAMs: 94/94 | Jobs: 368/368 | Disk free: 164G | Running: True
