individual_name NN
nr13 1.0000
nr14 1.0000
nr15 1.0000
nr16 1.0000
nr17 1.0000
nr18 1.0000
nr19 1.0000
nr20 1.0000
nr21 1.0000
nr23 1.0000
nr24 1.0000
nr25 1.0000
nr26 1.0000
nr27 1.0000
nr28 1.0000
nr29 1.0000
nr30 1.0000
nr31 1.0000
nr33 1.0000
nr34 1.0000
nr35 1.0000
nr37 1.0000
nr38 1.0000
nr39 1.0000
nr41 1.0000
nr42 1.0000
nr43 1.0000
nr46 1.0000
nr47 1.0000
nr48 1.0000
nr49 1.0000
nr51 1.0000
nr56 1.0000
nr57 1.0000
nr58 1.0000
nr68 1.0000
nr69 1.0000
nr70 1.0000
nr72 1.0000
nr74 1.0000
nr75 1.0000
nr77 1.0000
