individual_name NN DD
nr13 0.0000 1.0000
nr14 0.0000 1.0000
nr15 0.0000 1.0000
nr16 0.0000 1.0000
nr17 0.0000 1.0000
nr18 0.0000 1.0000
nr19 0.0000 1.0000
nr20 0.0000 1.0000
nr21 0.0000 1.0000
nr23 0.0000 1.0000
nr24 0.0000 1.0000
nr25 0.0000 1.0000
nr26 0.0000 1.0000
nr27 0.0000 1.0000
nr28 0.0000 1.0000
nr29 0.0000 1.0000
nr30 0.0000 1.0000
nr31 0.0000 1.0000
nr33 0.0000 1.0000
nr34 0.0000 1.0000
nr35 0.0000 1.0000
nr37 0.0000 1.0000
nr38 0.0000 1.0000
nr39 0.0000 1.0000
nr41 0.0000 1.0000
nr42 0.0000 1.0000
nr43 0.0000 1.0000
nr46 0.0000 1.0000
nr47 0.0000 1.0000
nr48 0.0000 1.0000
nr49 0.0000 1.0000
nr51 0.0000 1.0000
nr56 0.0000 1.0000
nr57 0.0000 1.0000
nr58 0.0000 1.0000
nr68 0.0000 1.0000
nr69 0.0000 1.0000
nr70 0.0000 1.0000
nr72 0.0000 1.0000
nr74 0.0000 1.0000
nr75 0.0000 1.0000
nr77 0.0000 1.0000
