individual_name NN DD
nr93 0.9794 0.0206
nr87 0.9906 0.0094
nr86 0.9860 0.0140
nr85 0.7251 0.2749
nr84 0.9821 0.0179
nr82 0.8664 0.1336
nr74 0.0298 0.9702
nr72 0.0577 0.9423
nr70 0.0176 0.9824
nr7 0.7491 0.2509
nr68 0.0477 0.9523
nr62 0.8889 0.1111
nr61 0.7461 0.2539
nr92 0.9698 0.0302
nr6 0.9751 0.0249
nr58 0.0244 0.9756
nr90 0.9771 0.0229
nr57 0.1792 0.8208
nr56 0.0601 0.9399
nr54 0.9801 0.0199
nr80 0.9475 0.0525
nr51 0.0125 0.9875
nr3 0.9219 0.0781
nr5 0.9624 0.0376
nr34 0.1538 0.8462
nr49 0.1362 0.8638
nr9 0.9550 0.0450
nr45 0.8934 0.1066
nr42 0.0401 0.9599
nr21 0.0674 0.9326
nr11 0.7761 0.2239
nr30 0.0614 0.9386
nr4 0.9742 0.0258
nr40 0.7958 0.2042
nr39 0.0866 0.9134
nr75 0.0091 0.9909
nr29 0.0812 0.9188
nr35 0.0946 0.9054
nr78 0.9577 0.0423
nr69 0.0771 0.9229
nr44 0.9534 0.0466
nr77 0.0067 0.9933
nr33 0.0121 0.9879
nr15 0.1329 0.8671
nr32 0.9479 0.0521
nr43 0.0116 0.9884
nr94 0.9378 0.0622
nr83 0.9619 0.0381
nr63 0.8661 0.1339
nr28 0.0101 0.9899
nr52 0.9588 0.0412
nr66 0.9194 0.0806
nr41 0.0494 0.9506
nr55 0.9644 0.0356
nr12 0.9005 0.0995
nr31 0.1257 0.8743
nr27 0.0385 0.9615
nr79 0.9951 0.0049
nr17 0.0147 0.9853
nr16 0.0111 0.9889
nr26 0.1282 0.8718
nr73 0.9041 0.0959
nr25 0.0368 0.9632
nr20 0.1179 0.8821
nr46 0.0162 0.9838
nr19 0.1790 0.8210
nr24 0.0326 0.9674
nr2 0.7790 0.2210
nr48 0.0153 0.9847
nr23 0.0369 0.9631
nr71 0.9539 0.0461
nr18 0.0697 0.9303
nr8 0.8995 0.1005
nr53 0.9649 0.0351
nr91 0.9530 0.0470
nr38 0.1176 0.8824
nr14 0.0680 0.9320
nr10 0.7634 0.2366
nr1 0.9501 0.0499
nr37 0.1048 0.8952
nr13 0.0244 0.9756
nr47 0.0336 0.9664
