## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results/aligned/nr19.sorted.bam --OUTPUT results/aligned/nr19.dedup.bam --METRICS_FILE results/qc/dedup/nr19_dedup_metrics.txt --REMOVE_DUPLICATES false --VALIDATION_STRINGENCY LENIENT --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Mar 05 20:57:28 CET 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
nr19	130272	31323378	1040529	946626	85023	11309161	9749820	0.361651	141954282

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.404415	13640454	0	18561658
2.0	2.530742	3807020	3273043	1397386
3.0	3.434047	1394919	1204881	43906
4.0	4.158488	600202	526689	4513
5.0	4.739484	282815	249344	2244
6.0	5.205437	139959	122574	1371
7.0	5.579127	71019	61270	923
8.0	5.878823	36444	30724	505
9.0	6.119176	18978	15584	351
10.0	6.311938	9987	8032	209
11.0	6.46653	5295	4170	155
12.0	6.590512	2895	2182	95
13.0	6.689945	1659	1173	105
14.0	6.769688	870	583	80
15.0	6.833642	516	337	66
16.0	6.884933	278	141	48
17.0	6.926067	164	71	52
18.0	6.959056	105	34	38
19.0	6.985514	79	22	42
20.0	7.006732	64	20	34
21.0	7.023749	54	7	36
22.0	7.037396	30	4	21
23.0	7.048342	21	1	14
24.0	7.057119	28	1	24
25.0	7.064159	20	1	13
26.0	7.069805	11	1	15
27.0	7.074333	16	0	13
28.0	7.077964	14	1	11
29.0	7.080877	16	0	16
30.0	7.083212	13	1	9
31.0	7.085085	6	0	11
32.0	7.086588	10	0	10
33.0	7.087793	14	0	11
34.0	7.088759	8	0	8
35.0	7.089534	6	0	8
36.0	7.090155	10	0	10
37.0	7.090654	5	0	4
38.0	7.091053	12	0	9
39.0	7.091374	7	0	6
40.0	7.091631	7	0	5
41.0	7.091837	3	0	4
42.0	7.092003	9	0	7
43.0	7.092135	3	0	4
44.0	7.092241	3	0	2
45.0	7.092327	2	0	3
46.0	7.092395	9	0	7
47.0	7.09245	5	0	4
48.0	7.092494	5	0	6
49.0	7.092529	4	0	3
50.0	7.092558	5	0	7
51.0	7.09258	4	0	4
52.0	7.092599	2	0	1
53.0	7.092613	1	0	1
54.0	7.092625	3	0	7
55.0	7.092634	9	0	6
56.0	7.092642	1	0	2
57.0	7.092648	4	0	7
58.0	7.092653	5	0	1
59.0	7.092657	3	0	1
60.0	7.09266	4	0	4
61.0	7.092662	2	0	3
62.0	7.092664	2	0	1
63.0	7.092666	0	0	0
64.0	7.092667	2	0	2
65.0	7.092668	2	0	4
66.0	7.092669	7	0	4
67.0	7.09267	1	0	1
68.0	7.09267	2	0	5
69.0	7.092671	4	0	1
70.0	7.092671	0	0	0
71.0	7.092671	1	0	2
72.0	7.092671	1	0	1
73.0	7.092672	2	0	3
74.0	7.092672	2	0	1
75.0	7.092672	3	0	2
76.0	7.092672	1	0	1
77.0	7.092672	1	0	1
78.0	7.092672	2	0	2
