## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT results/aligned/nr94.sorted.bam --OUTPUT results/aligned/nr94.dedup.bam --METRICS_FILE results/qc/dedup/nr94_dedup_metrics.txt --REMOVE_DUPLICATES false --VALIDATION_STRINGENCY LENIENT --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Mar 06 09:29:14 CET 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
nr94	128869	31667302	1154216	833529	83735	10296496	8693146	0.325805	156845972

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.341793	15252955	0	19896684
2.0	2.438273	3863677	3231649	1417309
3.0	3.334291	1279419	1082756	41953
4.0	4.066496	515988	447300	5189
5.0	4.664836	232928	203437	2823
6.0	5.153785	111651	97034	1932
7.0	5.553343	55482	47276	1341
8.0	5.879852	27802	23182	939
9.0	6.146667	14309	11486	652
10.0	6.364702	7452	5884	473
11.0	6.542875	3962	2927	307
12.0	6.688474	2111	1413	228
13.0	6.807454	1093	763	150
14.0	6.904681	617	371	90
15.0	6.984133	375	183	86
16.0	7.049059	183	83	47
17.0	7.102116	131	44	61
18.0	7.145472	86	26	43
19.0	7.180902	61	14	29
20.0	7.209854	37	11	19
21.0	7.233513	40	6	33
22.0	7.252847	25	1	25
23.0	7.268646	22	0	17
24.0	7.281556	14	2	20
25.0	7.292107	25	0	16
26.0	7.300728	21	0	20
27.0	7.307773	16	0	13
28.0	7.31353	13	0	9
29.0	7.318235	13	0	9
30.0	7.322079	9	0	7
31.0	7.325221	8	0	6
32.0	7.327788	8	0	7
33.0	7.329886	10	0	13
34.0	7.331601	8	0	6
35.0	7.333001	9	0	6
36.0	7.334146	5	0	6
37.0	7.335082	4	0	5
38.0	7.335846	7	0	11
39.0	7.336471	8	0	3
40.0	7.336981	3	0	2
41.0	7.337399	4	0	6
42.0	7.33774	5	0	7
43.0	7.338018	7	0	7
44.0	7.338246	5	0	7
45.0	7.338432	5	0	4
46.0	7.338584	3	0	2
47.0	7.338708	4	0	4
48.0	7.33881	4	0	3
49.0	7.338893	7	0	3
50.0	7.33896	2	0	5
51.0	7.339016	1	0	0
52.0	7.339061	1	0	2
53.0	7.339098	5	0	4
54.0	7.339128	4	0	2
55.0	7.339153	2	0	2
56.0	7.339173	4	0	5
57.0	7.33919	3	0	3
58.0	7.339203	3	0	2
59.0	7.339214	0	0	2
60.0	7.339223	2	0	1
61.0	7.33923	3	0	1
62.0	7.339236	1	0	2
63.0	7.339241	5	0	4
64.0	7.339245	3	0	4
65.0	7.339249	2	0	2
66.0	7.339251	1	0	2
67.0	7.339254	2	0	1
68.0	7.339255	1	0	1
69.0	7.339257	0	0	1
70.0	7.339258	1	0	0
71.0	7.339259	2	0	2
72.0	7.33926	2	0	1
73.0	7.33926	2	0	2
74.0	7.339261	2	0	3
75.0	7.339261	2	0	4
76.0	7.339262	4	0	2
77.0	7.339262	1	0	0
78.0	7.339262	2	0	2
79.0	7.339262	1	0	1
80.0	7.339263	4	0	4
81.0	7.339263	0	0	0
82.0	7.339263	2	0	2
