chrom	length	bases	mean	min	max
1	21295481	191891271	9.01	0	4767
NW_024396975.1	388293	2409015	6.20	0	361
NW_024396976.1	23224	123058	5.30	0	22
NW_024396977.1	213546	764444	3.58	0	36
NW_024396978.1	91398	539088	5.90	0	91
NW_024396979.1	80962	388475	4.80	0	48
NW_024396980.1	66562	180638	2.71	0	24
NW_024396981.1	46539	182412	3.92	0	24
NW_024396982.1	40329	240783	5.97	0	27
NW_024396983.1	33728	128225	3.80	0	22
NW_024396984.1	28623	143529	5.01	0	22
2	22235516	201300272	9.05	0	1006
3	21656862	198848965	9.18	0	5846
4	21559079	192329378	8.92	0	1436
5	20978392	188717378	9.00	0	5197
6	20779476	194072050	9.34	0	2507
7	20310676	182079180	8.96	0	6339
NW_024396985.1	154489	2892553	18.72	0	1337
NW_024396986.1	123767	816568	6.60	0	77
8	20387885	182723804	8.96	0	3810
9	19838782	179807236	9.06	0	7408
10	19543518	174440473	8.93	0	4572
11	19417568	171985597	8.86	0	3078
12	19375358	172323098	8.89	0	2283
13	18562731	166599303	8.97	0	7356
14	18514894	165141649	8.92	0	2740
15	18474722	166039205	8.99	0	7638
16	18405481	166763965	9.06	0	5161
17	17724597	157748764	8.90	0	4905
18	17526884	158510861	9.04	0	6230
19	17516122	189215015	10.80	0	22714
20	17491101	154713356	8.85	0	5807
21	17150347	147579635	8.61	0	1186
22	15154462	135423778	8.94	0	4604
23	13181978	120101886	9.11	0	5963
24	13052829	119587311	9.16	0	4175
25	11599638	104947118	9.05	0	3529
26	9871873	100314182	10.16	0	5128
27	8980196	81051844	9.03	0	1555
W	2084383	56339881	27.03	0	194
NW_024396987.1	1336113	30747559	23.01	0	91
NW_024396988.1	721200	19296654	26.76	0	139
NW_024396989.1	702408	12935457	18.42	0	100
NW_024396990.1	436298	10382796	23.80	0	104
NW_024396991.1	291364	8168911	28.04	0	191
NW_024396992.1	183897	3043443	16.55	0	74
NW_024396993.1	90180	2014421	22.34	0	107
NW_024396994.1	58461	1392033	23.81	0	63
Z	27171456	136020297	5.01	0	4057
NW_024396995.1	62500	667695	10.68	0	51
NW_024396996.1	298258	781782	2.62	0	67
NW_024396997.1	273553	344445	1.26	0	17
NW_024396998.1	156241	702073	4.49	0	57
NW_024396999.1	99202	205226	2.07	0	30
NW_024397000.1	94916	130270	1.37	0	28
NW_024397001.1	88807	113018	1.27	0	11
NW_024397002.1	64072	177717	2.77	0	18
NW_024397003.1	61578	86117	1.40	0	15
NW_024397004.1	58052	168875	2.91	0	139
NW_024397005.1	54715	68095	1.24	0	7
NW_024397006.1	47058	77925	1.66	0	23
NW_024397007.1	43016	67134	1.56	0	14
NW_024397008.1	36087	52763	1.46	0	11
NW_024397009.1	35142	850967	24.22	0	68
NW_024397010.1	34603	754848	21.81	0	48
NW_024397011.1	27521	687802	24.99	0	49
NW_024397012.1	26419	90195	3.41	0	46
NW_024397013.1	25606	592632	23.14	0	51
NW_024397014.1	15516	247109	15.93	0	59
NW_024397015.1	14473	284509	19.66	0	41
total	516571003	4660558011	9.02	0	22714
