pos genetic_dist
1323 0.001323
1382 0.001382
1388 0.001388
61785 0.061785
61828 0.061828
61866 0.061866
180443 0.180443
180537 0.180537
181001 0.181001
204619 0.204619
204637 0.204637
204772 0.204772
204917 0.204917
204940 0.204940
205642 0.205642
206805 0.206805
206915 0.206915
207405 0.207405
207845 0.207845
207852 0.207852
207855 0.207855
208392 0.208392
208421 0.208421
208634 0.208634
208912 0.208912
209035 0.209035
209528 0.209528
210010 0.210010
210174 0.210174
210884 0.210884
210922 0.210922
211706 0.211706
212074 0.212074
212129 0.212129
212137 0.212137
212213 0.212213
212228 0.212228
212328 0.212328
212335 0.212335
212337 0.212337
212677 0.212677
213255 0.213255
213645 0.213645
213941 0.213941
213961 0.213961
213980 0.213980
213995 0.213995
214012 0.214012
214038 0.214038
214519 0.214519
215593 0.215593
215745 0.215745
216004 0.216004
216339 0.216339
217092 0.217092
217260 0.217260
217562 0.217562
217633 0.217633
219200 0.219200
219922 0.219922
219993 0.219993
220035 0.220035
220266 0.220266
221471 0.221471
222148 0.222148
223058 0.223058
224160 0.224160
224176 0.224176
224697 0.224697
224747 0.224747
224980 0.224980
225262 0.225262
226921 0.226921
226944 0.226944
227090 0.227090
228247 0.228247
228408 0.228408
228855 0.228855
228966 0.228966
229136 0.229136
230019 0.230019
230062 0.230062
230340 0.230340
230563 0.230563
230804 0.230804
230833 0.230833
231223 0.231223
231234 0.231234
231259 0.231259
231292 0.231292
231435 0.231435
231778 0.231778
231912 0.231912
231975 0.231975
232001 0.232001
232057 0.232057
232146 0.232146
232283 0.232283
232399 0.232399
232464 0.232464
232813 0.232813
232839 0.232839
233472 0.233472
233640 0.233640
235232 0.235232
235541 0.235541
236365 0.236365
236940 0.236940
237260 0.237260
237593 0.237593
237627 0.237627
238046 0.238046
238220 0.238220
238587 0.238587
238924 0.238924
239024 0.239024
239136 0.239136
239177 0.239177
239294 0.239294
239303 0.239303
239807 0.239807
240353 0.240353
240576 0.240576
240889 0.240889
241261 0.241261
241317 0.241317
241506 0.241506
241737 0.241737
242217 0.242217
242284 0.242284
242970 0.242970
243115 0.243115
243504 0.243504
243758 0.243758
243935 0.243935
243953 0.243953
243972 0.243972
243980 0.243980
244087 0.244087
244105 0.244105
244197 0.244197
244240 0.244240
244861 0.244861
244891 0.244891
244946 0.244946
245112 0.245112
246746 0.246746
247807 0.247807
248315 0.248315
248661 0.248661
248756 0.248756
248874 0.248874
248903 0.248903
249005 0.249005
249644 0.249644
249777 0.249777
250095 0.250095
250450 0.250450
250920 0.250920
251543 0.251543
253751 0.253751
254251 0.254251
254939 0.254939
256730 0.256730
257005 0.257005
257411 0.257411
258065 0.258065
258328 0.258328
258352 0.258352
258364 0.258364
258407 0.258407
258417 0.258417
258597 0.258597
258747 0.258747
258788 0.258788
258879 0.258879
259269 0.259269
260052 0.260052
260190 0.260190
260263 0.260263
260272 0.260272
260290 0.260290
260522 0.260522
261034 0.261034
261228 0.261228
261334 0.261334
261431 0.261431
261475 0.261475
261610 0.261610
261640 0.261640
261645 0.261645
261840 0.261840
262117 0.262117
262124 0.262124
262131 0.262131
262874 0.262874
263215 0.263215
263297 0.263297
263322 0.263322
263329 0.263329
263388 0.263388
263510 0.263510
263640 0.263640
263703 0.263703
263717 0.263717
263729 0.263729
263766 0.263766
264009 0.264009
264080 0.264080
265096 0.265096
265376 0.265376
265922 0.265922
266392 0.266392
266501 0.266501
266597 0.266597
266739 0.266739
266778 0.266778
267017 0.267017
267132 0.267132
267390 0.267390
267660 0.267660
268134 0.268134
268288 0.268288
268308 0.268308
268337 0.268337
268566 0.268566
268661 0.268661
268753 0.268753
268987 0.268987
269143 0.269143
269268 0.269268
269692 0.269692
269876 0.269876
270299 0.270299
270480 0.270480
270628 0.270628
270633 0.270633
270921 0.270921
271292 0.271292
272004 0.272004
272099 0.272099
272229 0.272229
272874 0.272874
273012 0.273012
273546 0.273546
273998 0.273998
274819 0.274819
275194 0.275194
275200 0.275200
275331 0.275331
275506 0.275506
275725 0.275725
276102 0.276102
276305 0.276305
276312 0.276312
276497 0.276497
276807 0.276807
276905 0.276905
277050 0.277050
277111 0.277111
277235 0.277235
277466 0.277466
277495 0.277495
277729 0.277729
277959 0.277959
278070 0.278070
280757 0.280757
280980 0.280980
281063 0.281063
281287 0.281287
281762 0.281762
282180 0.282180
282265 0.282265
282599 0.282599
283002 0.283002
288311 0.288311
288317 0.288317
288433 0.288433
288456 0.288456
288606 0.288606
288792 0.288792
289176 0.289176
289568 0.289568
290383 0.290383
290619 0.290619
290828 0.290828
291066 0.291066
291124 0.291124
291263 0.291263
291783 0.291783
292010 0.292010
292440 0.292440
292550 0.292550
292594 0.292594
293062 0.293062
293069 0.293069
293165 0.293165
293525 0.293525
293561 0.293561
294153 0.294153
294265 0.294265
294326 0.294326
294611 0.294611
295038 0.295038
295107 0.295107
295360 0.295360
295462 0.295462
295569 0.295569
295750 0.295750
296135 0.296135
296644 0.296644
297335 0.297335
297535 0.297535
297701 0.297701
297908 0.297908
297941 0.297941
298063 0.298063
298074 0.298074
298113 0.298113
298130 0.298130
298208 0.298208
298399 0.298399
298450 0.298450
298528 0.298528
298535 0.298535
298675 0.298675
299101 0.299101
299145 0.299145
299261 0.299261
299355 0.299355
299485 0.299485
299849 0.299849
299955 0.299955
300154 0.300154
300316 0.300316
300559 0.300559
300641 0.300641
300688 0.300688
300903 0.300903
301125 0.301125
301180 0.301180
301358 0.301358
301523 0.301523
301552 0.301552
301564 0.301564
301649 0.301649
301865 0.301865
301979 0.301979
302624 0.302624
302901 0.302901
302947 0.302947
303210 0.303210
303271 0.303271
303560 0.303560
303842 0.303842
303949 0.303949
303969 0.303969
304338 0.304338
304699 0.304699
304753 0.304753
304786 0.304786
304795 0.304795
304870 0.304870
305386 0.305386
305912 0.305912
306616 0.306616
306722 0.306722
306842 0.306842
306990 0.306990
307489 0.307489
307638 0.307638
307670 0.307670
308203 0.308203
308475 0.308475
308527 0.308527
309535 0.309535
309972 0.309972
310518 0.310518
310773 0.310773
311233 0.311233
311715 0.311715
311818 0.311818
