physical_position NN DD 
1323 0.8415 0.1585
1382 0.7311 0.2689
1388 0.7311 0.2689
61785 0.6852 0.3148
61828 0.6852 0.3148
61866 0.6852 0.3148
180443 0.4818 0.5182
180537 0.4818 0.5182
181001 0.4818 0.5182
204619 0.4858 0.5142
204637 0.4858 0.5142
204772 0.4857 0.5143
204917 0.4859 0.5141
204940 0.4859 0.5141
205642 0.4854 0.5146
206805 0.4851 0.5149
206915 0.4851 0.5149
207405 0.4851 0.5149
207845 0.4816 0.5184
207852 0.4816 0.5184
207855 0.4816 0.5184
208392 0.4813 0.5187
208421 0.4812 0.5188
208634 0.4814 0.5186
208912 0.4810 0.5190
209035 0.4823 0.5177
209528 0.4866 0.5134
210010 0.4860 0.5140
210174 0.4862 0.5138
210884 0.4864 0.5136
210922 0.4864 0.5136
211706 0.4857 0.5143
212074 0.4857 0.5143
212129 0.4837 0.5163
212137 0.4834 0.5166
212213 0.4843 0.5157
212228 0.4826 0.5174
212328 0.4834 0.5166
212335 0.4835 0.5165
212337 0.4893 0.5107
212677 0.4906 0.5094
213255 0.4905 0.5095
213645 0.4907 0.5093
213941 0.4904 0.5096
213961 0.4890 0.5110
213980 0.4882 0.5118
213995 0.4873 0.5127
214012 0.4863 0.5137
214038 0.4845 0.5155
214519 0.4830 0.5170
215593 0.4826 0.5174
215745 0.4823 0.5177
216004 0.4865 0.5135
216339 0.4865 0.5135
217092 0.4866 0.5134
217260 0.4864 0.5136
217562 0.4860 0.5140
217633 0.4860 0.5140
219200 0.4792 0.5208
219922 0.4782 0.5218
219993 0.4841 0.5159
220035 0.4841 0.5159
220266 0.4835 0.5165
221471 0.4859 0.5141
222148 0.4847 0.5153
223058 0.4829 0.5171
224160 0.4816 0.5184
224176 0.4815 0.5185
224697 0.4870 0.5130
224747 0.4868 0.5132
224980 0.4867 0.5133
225262 0.4861 0.5139
226921 0.4823 0.5177
226944 0.4824 0.5176
227090 0.4821 0.5179
228247 0.4806 0.5194
228408 0.4802 0.5198
228855 0.4799 0.5201
228966 0.4792 0.5208
229136 0.4785 0.5215
230019 0.4720 0.5280
230062 0.4718 0.5282
230340 0.4695 0.5305
230563 0.4678 0.5322
230804 0.4670 0.5330
230833 0.4670 0.5330
231223 0.4671 0.5329
231234 0.4671 0.5329
231259 0.4671 0.5329
231292 0.4671 0.5329
231435 0.4671 0.5329
231778 0.4673 0.5327
231912 0.4675 0.5325
231975 0.4673 0.5327
232001 0.4671 0.5329
232057 0.4669 0.5331
232146 0.4671 0.5329
232283 0.4616 0.5384
232399 0.4617 0.5383
232464 0.4621 0.5379
232813 0.4576 0.5424
232839 0.4577 0.5423
233472 0.4587 0.5413
233640 0.4601 0.5399
235232 0.4590 0.5410
235541 0.4596 0.5404
236365 0.4622 0.5378
236940 0.4634 0.5366
237260 0.4643 0.5357
237593 0.4633 0.5367
237627 0.4631 0.5369
238046 0.4617 0.5383
238220 0.4610 0.5390
238587 0.4601 0.5399
238924 0.4587 0.5413
239024 0.4585 0.5415
239136 0.4580 0.5420
239177 0.4576 0.5424
239294 0.4572 0.5428
239303 0.4512 0.5488
239807 0.4538 0.5462
240353 0.4507 0.5493
240576 0.4532 0.5468
240889 0.4565 0.5435
241261 0.4588 0.5412
241317 0.4593 0.5407
241506 0.4600 0.5400
241737 0.4601 0.5399
242217 0.4620 0.5380
242284 0.4616 0.5384
242970 0.4610 0.5390
243115 0.4611 0.5389
243504 0.4606 0.5394
243758 0.4602 0.5398
243935 0.4585 0.5415
243953 0.4584 0.5416
243972 0.4585 0.5415
243980 0.4585 0.5415
244087 0.4583 0.5417
244105 0.4587 0.5413
244197 0.4599 0.5401
244240 0.4602 0.5398
244861 0.4660 0.5340
244891 0.4662 0.5338
244946 0.4660 0.5340
245112 0.4664 0.5336
246746 0.4643 0.5357
247807 0.4646 0.5354
248315 0.4641 0.5359
248661 0.4636 0.5364
248756 0.4637 0.5363
248874 0.4639 0.5361
248903 0.4639 0.5361
249005 0.4641 0.5359
249644 0.4651 0.5349
249777 0.4654 0.5346
250095 0.4655 0.5345
250450 0.4662 0.5338
250920 0.4672 0.5328
251543 0.4685 0.5315
253751 0.4674 0.5326
254251 0.4674 0.5326
254939 0.4670 0.5330
256730 0.4673 0.5327
257005 0.4673 0.5327
257411 0.4674 0.5326
258065 0.4680 0.5320
258328 0.4683 0.5317
258352 0.4683 0.5317
258364 0.4683 0.5317
258407 0.4685 0.5315
258417 0.4686 0.5314
258597 0.4687 0.5313
258747 0.4688 0.5312
258788 0.4689 0.5311
258879 0.4691 0.5309
259269 0.4698 0.5302
260052 0.4706 0.5294
260190 0.4770 0.5230
260263 0.4771 0.5229
260272 0.4771 0.5229
260290 0.4770 0.5230
260522 0.4764 0.5236
261034 0.4755 0.5245
261228 0.4736 0.5264
261334 0.4716 0.5284
261431 0.4712 0.5288
261475 0.4708 0.5292
261610 0.4699 0.5301
261640 0.4696 0.5304
261645 0.4697 0.5303
261840 0.4684 0.5316
262117 0.4723 0.5277
262124 0.4723 0.5277
262131 0.4723 0.5277
262874 0.4719 0.5281
263215 0.4711 0.5289
263297 0.4721 0.5279
263322 0.4770 0.5230
263329 0.4767 0.5233
263388 0.4760 0.5240
263510 0.4735 0.5265
263640 0.4676 0.5324
263703 0.4685 0.5315
263717 0.4686 0.5314
263729 0.4686 0.5314
263766 0.4634 0.5366
264009 0.4709 0.5291
264080 0.4712 0.5288
265096 0.4764 0.5236
265376 0.4780 0.5220
265922 0.4807 0.5193
266392 0.4801 0.5199
266501 0.4799 0.5201
266597 0.4798 0.5202
266739 0.4791 0.5209
266778 0.4792 0.5208
267017 0.4794 0.5206
267132 0.4796 0.5204
267390 0.4794 0.5206
267660 0.4791 0.5209
268134 0.4797 0.5203
268288 0.4800 0.5200
268308 0.4801 0.5199
268337 0.4802 0.5198
268566 0.4812 0.5188
268661 0.4815 0.5185
268753 0.4820 0.5180
268987 0.4815 0.5185
269143 0.4814 0.5186
269268 0.4813 0.5187
269692 0.4809 0.5191
269876 0.4807 0.5193
270299 0.4801 0.5199
270480 0.4797 0.5203
270628 0.4792 0.5208
270633 0.4791 0.5209
270921 0.4774 0.5226
271292 0.4766 0.5234
272004 0.4748 0.5252
272099 0.4747 0.5253
272229 0.4743 0.5257
272874 0.4723 0.5277
273012 0.4720 0.5280
273546 0.4707 0.5293
273998 0.4696 0.5304
274819 0.4686 0.5314
275194 0.4682 0.5318
275200 0.4682 0.5318
275331 0.4682 0.5318
275506 0.4683 0.5317
275725 0.4681 0.5319
276102 0.4683 0.5317
276305 0.4680 0.5320
276312 0.4680 0.5320
276497 0.4681 0.5319
276807 0.4673 0.5327
276905 0.4674 0.5326
277050 0.4673 0.5327
277111 0.4674 0.5326
277235 0.4672 0.5328
277466 0.4674 0.5326
277495 0.4674 0.5326
277729 0.4676 0.5324
277959 0.4673 0.5327
278070 0.4670 0.5330
280757 0.4638 0.5362
280980 0.4635 0.5365
281063 0.4634 0.5366
281287 0.4638 0.5362
281762 0.4617 0.5383
282180 0.4598 0.5402
282265 0.4595 0.5405
282599 0.4593 0.5407
283002 0.4540 0.5460
288311 0.4537 0.5463
