physical_position NN DD 
1323 0.0000 1.0000
1382 0.0000 1.0000
1388 0.0000 1.0000
61785 0.0000 1.0000
61828 0.0000 1.0000
61866 0.0000 1.0000
180443 0.0000 1.0000
180537 0.0000 1.0000
181001 0.0000 1.0000
204619 0.0000 1.0000
204637 0.0000 1.0000
204772 0.0000 1.0000
204917 0.0000 1.0000
204940 0.0000 1.0000
205642 0.0000 1.0000
206805 0.0000 1.0000
206915 0.0000 1.0000
207405 0.0000 1.0000
207845 0.0000 1.0000
207852 0.0000 1.0000
207855 0.0000 1.0000
208392 0.0000 1.0000
208421 0.0000 1.0000
208634 0.0000 1.0000
208912 0.0000 1.0000
209035 0.0000 1.0000
209528 0.0000 1.0000
210010 0.0000 1.0000
210174 0.0000 1.0000
210884 0.0000 1.0000
210922 0.0000 1.0000
211706 0.0000 1.0000
212074 0.0000 1.0000
212129 0.0000 1.0000
212137 0.0000 1.0000
212213 0.0000 1.0000
212228 0.0000 1.0000
212328 0.0000 1.0000
212335 0.0000 1.0000
212337 0.0000 1.0000
212677 0.0000 1.0000
213255 0.0000 1.0000
213645 0.0000 1.0000
213941 0.0000 1.0000
213961 0.0000 1.0000
213980 0.0000 1.0000
213995 0.0000 1.0000
214012 0.0000 1.0000
214038 0.0000 1.0000
214519 0.0000 1.0000
215593 0.0000 1.0000
215745 0.0000 1.0000
216004 0.0000 1.0000
216339 0.0000 1.0000
217092 0.0000 1.0000
217260 0.0000 1.0000
217562 0.0000 1.0000
217633 0.0000 1.0000
219200 0.0000 1.0000
219922 0.0000 1.0000
219993 0.0000 1.0000
220035 0.0000 1.0000
220266 0.0000 1.0000
221471 0.0000 1.0000
222148 0.0000 1.0000
223058 0.0000 1.0000
224160 0.0000 1.0000
224176 0.0000 1.0000
224697 0.0000 1.0000
224747 0.0000 1.0000
224980 0.0000 1.0000
225262 0.0000 1.0000
226921 0.0000 1.0000
226944 0.0000 1.0000
227090 0.0000 1.0000
228247 0.0000 1.0000
228408 0.0000 1.0000
228855 0.0000 1.0000
228966 0.0000 1.0000
229136 0.0000 1.0000
230019 0.0000 1.0000
230062 0.0000 1.0000
230340 0.0000 1.0000
230563 0.0000 1.0000
230804 0.0000 1.0000
230833 0.0000 1.0000
231223 0.0000 1.0000
231234 0.0000 1.0000
231259 0.0000 1.0000
231292 0.0000 1.0000
231435 0.0000 1.0000
231778 0.0000 1.0000
231912 0.0000 1.0000
231975 0.0000 1.0000
232001 0.0000 1.0000
232057 0.0000 1.0000
232146 0.0000 1.0000
232283 0.0000 1.0000
232399 0.0000 1.0000
232464 0.0000 1.0000
232813 0.0000 1.0000
232839 0.0000 1.0000
233472 0.0000 1.0000
233640 0.0000 1.0000
235232 0.0000 1.0000
235541 0.0000 1.0000
236365 0.0000 1.0000
236940 0.0000 1.0000
237260 0.0000 1.0000
237593 0.0000 1.0000
237627 0.0000 1.0000
238046 0.0000 1.0000
238220 0.0000 1.0000
238587 0.0000 1.0000
238924 0.0000 1.0000
239024 0.0000 1.0000
239136 0.0000 1.0000
239177 0.0000 1.0000
239294 0.0000 1.0000
239303 0.0000 1.0000
239807 0.0000 1.0000
240353 0.0000 1.0000
240576 0.0000 1.0000
240889 0.0000 1.0000
241261 0.0000 1.0000
241317 0.0000 1.0000
241506 0.0000 1.0000
