CHR	CENTER	MEAN_DELTA	N_SNPS
1	508508	-0.029959	7040
1	608508	-0.026710	8311
1	708508	-0.027715	9333
1	808508	-0.029991	9735
1	908508	-0.033575	10201
1	1008508	-0.032094	10968
1	1108508	-0.025525	11100
1	1208508	-0.012124	11529
1	1308508	-0.020229	11947
1	1408508	-0.019325	10870
1	1508508	-0.026870	8964
1	1608508	-0.029072	7975
1	1708508	-0.032011	7667
1	1808508	-0.020979	8153
1	1908508	-0.005591	8065
1	2008508	-0.003878	8186
1	2108508	-0.006125	8509
1	2208508	-0.008171	8249
1	2308508	0.002493	8201
1	2408508	-0.004697	8921
1	2508508	-0.006483	10267
1	2608508	-0.008270	11166
1	2708508	-0.002793	11404
1	2808508	-0.003425	11055
1	2908508	-0.006432	11293
1	3008508	-0.005151	11023
1	3108508	-0.003142	11152
1	3208508	-0.002354	10823
1	3308508	-0.000633	10685
1	3408508	0.007846	10619
1	3508508	0.008206	10111
1	3608508	0.010173	9787
1	3708508	0.009917	9778
1	3808508	0.008787	9819
1	3908508	0.008546	9357
1	4008508	0.007447	8824
1	4108508	0.007490	7851
1	4208508	0.004089	7748
1	4308508	0.002058	7921
1	4408508	-0.000634	7978
1	4508508	0.001875	7749
1	4608508	0.007640	7678
1	4708508	0.004487	7419
1	4808508	0.007156	7271
1	4908508	0.007024	7522
1	5008508	0.014472	7743
1	5108508	0.018573	8288
1	5208508	0.017240	8593
1	5308508	0.011782	8857
1	5408508	0.014044	8261
1	5508508	0.016976	8180
1	5608508	0.021039	8444
1	5708508	0.024849	8515
1	5808508	0.019557	8465
1	5908508	0.016319	8086
1	6008508	0.016219	8046
1	6108508	0.006944	7967
1	6208508	0.008469	7763
1	6308508	0.016403	7600
1	6408508	0.009047	8115
1	6508508	0.012132	8544
1	6608508	0.005003	8747
1	6708508	0.001613	8483
1	6808508	0.014101	8617
1	6908508	0.004043	9304
1	7008508	-0.002432	9360
1	7108508	0.001933	9272
1	7208508	0.006221	8983
1	7308508	0.006260	8844
1	7408508	0.008884	8661
1	7508508	0.003584	8206
1	7608508	0.000514	7639
1	7708508	0.000254	7830
1	7808508	-0.009751	7862
1	7908508	0.000300	7276
1	8008508	0.003351	7525
1	8108508	0.001983	7965
1	8208508	-0.001083	8481
1	8308508	0.001905	8829
1	8408508	-0.007155	9511
1	8508508	-0.007740	9861
1	8608508	-0.010222	9902
1	8708508	-0.009691	9995
1	8808508	-0.009497	10413
1	8908508	-0.010342	10640
1	9008508	-0.011372	10801
1	9108508	-0.004416	10687
1	9208508	-0.003104	10318
1	9308508	-0.008169	9391
1	9408508	0.004641	8425
1	9508508	0.007590	8618
1	9608508	0.008997	8943
1	9708508	0.011733	9251
1	9808508	0.013402	8575
1	9908508	0.018309	8510
1	10008508	0.012824	8404
1	10108508	0.007669	8220
1	10208508	0.005397	8304
1	10308508	0.004526	8747
1	10408508	-0.000817	8923
1	10508508	-0.001551	8582
1	10608508	-0.003918	8327
1	10708508	-0.007834	7615
1	10808508	-0.014428	7600
1	10908508	-0.020078	7509
1	11008508	-0.011345	7329
1	11108508	-0.016093	7254
1	11208508	-0.008364	7497
1	11308508	-0.002016	7887
1	11408508	0.009251	8200
1	11508508	0.005253	8092
1	11608508	0.010620	7911
1	11708508	0.010489	8511
1	11808508	0.010177	8730
1	11908508	0.009243	9671
1	12008508	0.008039	9870
1	12108508	0.009551	10426
1	12208508	0.002675	10167
1	12308508	0.001683	9878
1	12408508	-0.000687	9811
1	12508508	0.007135	9991
1	12608508	0.008448	10424
1	12708508	0.009262	10346
1	12808508	0.011234	10695
1	12908508	0.016931	9880
1	13008508	0.016159	9414
1	13108508	0.018850	9259
1	13208508	0.017940	9477
1	13308508	0.012473	9518
1	13408508	0.007615	9524
1	13508508	-0.004991	9841
1	13608508	-0.005655	9465
1	13708508	-0.005991	9654
1	13808508	-0.000436	10096
1	13908508	-0.007122	9911
1	14008508	-0.011939	10375
1	14108508	-0.011922	10741
1	14208508	-0.004773	10986
1	14308508	-0.001333	11231
1	14408508	-0.003135	11109
1	14508508	0.001789	11113
1	14608508	-0.002918	11466
1	14708508	-0.002647	11416
1	14808508	-0.007521	10581
1	14908508	-0.003871	10606
1	15008508	0.000155	10357
1	15108508	-0.003145	9992
1	15208508	-0.005710	9743
1	15308508	-0.008712	9618
1	15408508	-0.006095	9770
1	15508508	-0.008515	10265
1	15608508	-0.008178	10920
1	15708508	-0.007307	10869
1	15808508	0.000270	11124
1	15908508	-0.000908	11571
1	16008508	-0.000124	11665
1	16108508	0.001209	11814
1	16208508	-0.004333	11714
1	16308508	-0.004801	11377
1	16408508	-0.001296	11384
1	16508508	0.000598	11235
1	16608508	0.003789	10932
1	16708508	0.005677	10984
1	16808508	-0.003781	11290
1	16908508	-0.002180	11121
1	17008508	0.000479	10857
1	17108508	-0.004826	10460
1	17208508	-0.000542	10907
1	17308508	0.002499	11608
1	17408508	0.004340	11625
1	17508508	0.007292	10905
1	17608508	0.007907	10506
1	17708508	-0.000393	10748
1	17808508	0.008757	10646
1	17908508	0.009182	10872
1	18008508	0.008160	11019
1	18108508	0.014088	11058
1	18208508	0.015613	10901
1	18308508	0.015055	10624
1	18408508	0.009793	10705
1	18508508	0.005875	10658
1	18608508	0.006747	10540
1	18708508	0.010088	10386
1	18808508	-0.000800	10266
1	18908508	-0.006791	9726
1	19008508	-0.009699	10099
1	19108508	-0.008406	10139
1	19208508	-0.011321	10077
1	19308508	-0.013779	9924
1	19408508	-0.007362	10384
1	19508508	-0.001998	10552
1	19608508	0.002949	10559
1	19708508	0.006854	10731
1	19808508	0.011581	11092
1	19908508	0.008613	12368
1	20008508	0.013440	13106
1	20108508	0.014194	13229
1	20208508	0.016674	13902
1	20308508	0.019229	14075
1	20408508	0.015900	14050
1	20508508	0.010301	14282
1	20608508	0.005435	14546
1	20708508	0.004488	13598
1	20808508	0.004512	12150
1	20908508	0.010845	10162
1	21008508	0.007886	8210
1	21108508	0.003388	7104
1	21208508	-0.003962	5301
1	21308508	-0.012747	4162
1	21408508	-0.024349	2714
1	21508508	-0.007337	1538
1	21608508	0.003625	398
1	21708508	-0.031518	53
2	535781	0.007815	10740
2	635781	0.010714	11587
2	735781	0.004282	11693
2	835781	0.001570	11717
2	935781	0.001939	12037
2	1035781	0.004488	11293
2	1135781	0.008963	11055
2	1235781	0.009542	10944
2	1335781	0.014389	11323
2	1435781	0.010495	11407
2	1535781	0.008461	10966
2	1635781	0.004851	10531
2	1735781	0.005372	9967
2	1835781	0.003533	9660
2	1935781	0.001095	9151
2	2035781	-0.001369	9213
2	2135781	-0.003810	9080
2	2235781	-0.003275	9237
2	2335781	-0.011706	8970
2	2435781	-0.011367	8974
2	2535781	-0.012309	9364
2	2635781	-0.013648	9512
2	2735781	-0.014185	9563
2	2835781	-0.012462	9539
2	2935781	-0.016568	9447
2	3035781	-0.022280	9708
2	3135781	-0.022027	9721
2	3235781	-0.019074	9808
2	3335781	-0.016511	9770
2	3435781	-0.016222	9502
2	3535781	-0.010925	9257
2	3635781	-0.006313	8924
2	3735781	-0.007387	9048
2	3835781	-0.007434	9195
2	3935781	-0.000549	9201
2	4035781	0.004666	9542
2	4135781	0.006474	9790
2	4235781	0.002931	9816
2	4335781	0.002643	9540
2	4435781	0.004762	9509
2	4535781	-0.001564	9872
2	4635781	-0.003751	10280
2	4735781	-0.006521	10723
2	4835781	-0.006708	10503
2	4935781	-0.006056	10438
2	5035781	-0.005296	9554
2	5135781	-0.004853	9160
2	5235781	-0.005627	8785
2	5335781	-0.003837	9289
2	5435781	-0.004532	9845
2	5535781	-0.000967	10005
2	5635781	-0.001014	10351
2	5735781	0.003980	9726
2	5835781	0.005210	9845
2	5935781	0.005021	9943
2	6035781	0.003268	9964
2	6135781	0.001405	9977
2	6235781	0.001541	10215
2	6335781	-0.000318	9686
2	6435781	-0.000204	9077
2	6535781	0.002687	8769
2	6635781	0.006441	8386
2	6735781	0.003957	8823
2	6835781	0.001947	8847
2	6935781	-0.000041	8777
2	7035781	0.000028	9024
2	7135781	0.004598	9275
2	7235781	0.005460	9507
2	7335781	0.005224	9591
2	7435781	0.004778	9745
2	7535781	0.002191	9650
2	7635781	0.006117	9807
2	7735781	0.007608	9781
2	7835781	0.007162	9332
2	7935781	0.008765	9205
2	8035781	0.013494	8956
2	8135781	0.012725	8710
2	8235781	0.012350	8308
2	8335781	0.013184	8148
2	8435781	0.013310	8299
2	8535781	0.015204	7938
2	8635781	-0.000685	7801
2	8735781	-0.004700	7722
2	8835781	-0.002146	8240
2	8935781	-0.005603	8255
2	9035781	-0.002914	8640
2	9135781	-0.000581	9239
2	9235781	-0.000110	8709
2	9335781	-0.002990	8743
2	9435781	-0.010604	8373
2	9535781	-0.011183	8619
2	9635781	-0.006381	8075
2	9735781	0.001194	7873
2	9835781	0.003032	7603
2	9935781	0.008253	7648
2	10035781	0.004215	7373
2	10135781	-0.000032	7136
2	10235781	0.001492	7579
2	10335781	0.005803	7558
2	10435781	0.015369	7320
2	10535781	0.016932	7076
2	10635781	0.026649	7226
2	10735781	0.021647	7186
2	10835781	0.010966	7511
2	10935781	0.010288	7383
2	11035781	0.017096	7399
2	11135781	0.020763	7487
2	11235781	0.014477	7570
2	11335781	0.014115	7891
2	11435781	0.017039	8425
2	11535781	0.009638	8855
2	11635781	0.002689	9062
2	11735781	0.003181	8908
2	11835781	0.009574	8674
2	11935781	0.010421	8708
2	12035781	0.000780	8777
2	12135781	0.000525	8307
2	12235781	0.006304	8462
2	12335781	0.004401	8930
2	12435781	-0.000563	9514
2	12535781	0.007906	9222
2	12635781	0.011257	9499
2	12735781	0.010928	9865
2	12835781	0.012210	10197
2	12935781	0.007942	10609
2	13035781	0.013836	10795
2	13135781	0.008764	11045
2	13235781	0.006126	10635
2	13335781	0.009533	9918
2	13435781	0.011808	9281
2	13535781	-0.001922	9492
2	13635781	-0.007044	8786
2	13735781	-0.008827	8665
2	13835781	-0.010469	8610
2	13935781	-0.013291	8659
2	14035781	-0.021054	8335
2	14135781	-0.021829	8423
2	14235781	-0.018770	9848
2	14335781	-0.021714	10261
2	14435781	-0.018483	10297
2	14535781	-0.005076	10377
2	14635781	-0.001821	10892
2	14735781	0.001331	11140
2	14835781	-0.000431	10918
2	14935781	0.003761	10508
2	15035781	0.006307	10673
2	15135781	0.006242	10200
